codigo,placa,linha,data,hora,latitude,longitude,velocidade,sentido,trajeto,direcao,ignicao,hodometro,id_migracao_trajeto,datahora
901008,,22,2025-02-17,08:45:00,-23.000991,-43.364898,10.9,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],266,True,149830.2,,2025-02-17 08:45:00-03:00
901011,RIV8A74,22,2025-02-17,08:47:50,-23.000628,-43.365536,0.0,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],89,True,160286.7,,2025-02-17 08:47:50-03:00
901018,,35,2025-02-17,07:43:00,-22.964902,-43.3914,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],267,False,131266.2,,2025-02-17 07:43:00-03:00
901012,,52,2025-02-17,08:40:01,-22.965123,-43.391274,0.0,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],68,False,134078.1,,2025-02-17 08:40:01-03:00
901014,,22,2025-02-17,08:47:50,-23.004184,-43.321571,32.5,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],294,True,159415.1,,2025-02-17 08:47:50-03:00
901007,,22,2025-02-17,08:47:43,-23.000276,-43.341695,10.4,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],97,True,152659.8,,2025-02-17 08:47:43-03:00
901009,,35,2025-02-17,08:47:56,-22.911152,-43.360339,55.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],192,True,116180.9,,2025-02-17 08:47:56-03:00
901013,,22,2025-02-17,08:47:40,-23.000028,-43.352661,0.0,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],249,True,152727.0,,2025-02-17 08:47:40-03:00
901010,RJM8G30,50,2025-02-17,08:47:52,-23.001117,-43.364222,4.1,ida,50 - TERMINAL CENTRO OLIMPICO X  JARDIM OCEÂNICO (PARADOR) [IDA],358,True,166767.9,,2025-02-17 08:47:52-03:00
901015,,35,2025-02-17,08:40:24,-23.001354,-43.366028,0.2,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],98,True,164239.5,,2025-02-17 08:40:24-03:00
901047,,35,2025-02-17,08:47:29,-22.924816,-43.373871,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],169,True,37123.5,,2025-02-17 08:47:29-03:00
901017,,22,2025-02-17,08:45:30,-23.000598,-43.364841,0.2,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],91,True,135123.3,,2025-02-17 08:45:30-03:00
901063,,51,2025-02-17,08:47:51,-22.966361,-43.396568,0.0,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],49,True,225120.6,,2025-02-17 08:47:51-03:00
902319,,51,2025-02-17,08:47:27,-22.991256,-43.419856,59.3,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],51,True,14850.4,,2025-02-17 08:47:27-03:00
901006,RJA9F56,22,2025-02-17,08:47:44,-23.006353,-43.316422,59.6,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],105,True,155043.7,,2025-02-17 08:47:44-03:00
901005,RJB8E53,35,2025-02-17,08:47:47,-22.951877,-43.374307,14.3,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],37,True,195419.1,,2025-02-17 08:47:47-03:00
901004,RJQ8J80,53,2025-02-17,08:47:44,-22.913882,-43.399968,64.5,ida,53 - SULACAP X ALVORADA (EXPRESSO) [IDA],156,True,174380.6,,2025-02-17 08:47:44-03:00
902095,,40,2025-02-17,08:32:52,-22.876846,-43.330249,0.0,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],,False,93648.4,,2025-02-17 08:32:52-03:00
902375,,71,2025-02-17,08:47:38,-22.823782,-43.278549,57.2,ida,71 - VIGÁRIO GERAL / PRAÇA DOIS X TIG (EXPRESSO) [iDA],128,True,1841.9,,2025-02-17 08:47:38-03:00
13409,KPY9733,10,2023-04-26,21:10:13,-22.915786,-43.628365,0.0,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),,True,22420.5,,2023-04-26 21:10:13-03:00
KXM6403 SAVEIRO,KXM6403,0,2025-02-17,08:15:38,-23.000818,-43.363584,0.0,,,,False,19507.0,,2025-02-17 08:15:38-03:00
902090,,40,2025-02-17,08:47:50,-22.955808,-43.378068,50.7,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],228,True,92017.3,,2025-02-17 08:47:50-03:00
KRA7040 - GOL,KRA7040,0,2025-02-17,08:11:36,-22.956989,-43.390444,0.0,,,,False,48513.2,,2025-02-17 08:11:36-03:00
902334,,61,2025-02-17,08:47:48,-22.826942,-43.274583,57.5,ida,61 - TERMINAL DEODORO X TIG (EXPRESSO) [IDA],129,True,59326.7,,2025-02-17 08:47:48-03:00
LSG7008 ACELLO INFRA,LSG7008,0,2025-01-18,17:03:03,-22.964554,-43.391436,0.0,,,,False,49467.5,,2025-01-18 17:03:03-03:00
KXE9191 PKP,KXE9191,0,2025-02-17,08:32:54,-22.971394,-43.400572,0.0,,,,False,11013.8,,2025-02-17 08:32:54-03:00
901057,,52,2025-02-17,08:47:47,-22.853764,-43.38443,0.0,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],290,True,208049.5,,2025-02-17 08:47:47-03:00
901003,RKM8C54,22,2025-02-17,08:29:48,-23.000597,-43.364886,0.0,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],90,True,163356.7,,2025-02-17 08:29:48-03:00
902455,,31,2025-02-17,08:41:16,-23.002535,-43.365854,0.0,volta,31 - ALVORADA X VICENTE DE CARVALHO (SEMIDIRETO) [VOLTA],,False,61071.2,,2025-02-17 08:41:16-03:00
KWB9798 - APOIO VAN,KWB9798,0,2025-02-17,08:36:07,-23.000824,-43.36483,0.0,,,,False,3977.3,,2025-02-17 08:36:07-03:00
901002,,53,2025-02-17,08:47:37,-22.999398,-43.368504,40.2,volta,53 - ALVORADA X SULACAP (EXPRESSO) [VOLTA],46,True,139160.8,,2025-02-17 08:47:37-03:00
