codigo,placa,linha,data,hora,latitude,longitude,velocidade,sentido,trajeto,direcao,ignicao,hodometro,id_migracao_trajeto,datahora
901008,,22,2025-02-17,08:20:20,-23.006627,-43.313706,40.9,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],97,True,149823.7,,2025-02-17 08:20:20-03:00
901011,RIV8A74,22,2025-02-17,08:20:11,-23.006424,-43.312983,0.0,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],273,True,160280.0,,2025-02-17 08:20:11-03:00
901018,,35,2025-02-17,07:43:00,-22.964902,-43.3914,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],267,False,131266.2,,2025-02-17 07:43:00-03:00
901012,,52,2025-02-17,08:16:36,-22.973207,-43.378652,32.6,volta,52 - T. ALVORADA X T. DEODORO (PARADOR) [VOLTA],275,True,134075.1,,2025-02-17 08:16:36-03:00
901014,,22,2025-02-17,08:09:30,-23.000627,-43.366971,0.0,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],206,True,159407.2,,2025-02-17 08:09:30-03:00
901007,,22,2025-02-17,08:12:57,-23.000897,-43.366968,18.4,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],133,True,152656.2,,2025-02-17 08:12:57-03:00
901009,,35,2025-02-17,08:20:23,-22.887368,-43.345038,0.0,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],35,True,116174.3,,2025-02-17 08:20:23-03:00
901013,,22,2025-02-17,08:18:20,-23.000238,-43.347752,0.0,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],89,True,152718.8,,2025-02-17 08:18:20-03:00
901010,RJM8G30,50,2025-02-17,08:03:52,-23.000719,-43.368202,0.0,volta,50 - JARDIM OCEÂNICO X  TERMINAL CENTRO OLIMPICO (PARADOR) [VOLTA],342,True,166752.1,,2025-02-17 08:03:52-03:00
901015,,35,2025-02-17,08:20:03,-23.000767,-43.368664,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],134,True,164237.2,,2025-02-17 08:20:03-03:00
901047,,35,2025-02-17,08:20:28,-22.878525,-43.336251,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],353,True,37116.3,,2025-02-17 08:20:28-03:00
901017,,22,2025-02-17,08:20:10,-23.001535,-43.328561,10.9,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],116,True,135115.4,,2025-02-17 08:20:10-03:00
901063,,51,2025-02-17,08:20:11,-23.000981,-43.430861,34.3,ida,51 - T. DEODORO X T. RECREIO (PARADOR) [IDA],228,True,225112.5,,2025-02-17 08:20:11-03:00
902319,,51,2025-02-17,08:20:26,-22.977363,-43.406881,0.0,ida,51 - T. DEODORO X T. RECREIO (PARADOR) [IDA],215,True,14842.4,,2025-02-17 08:20:26-03:00
901006,RJA9F56,22,2025-02-17,08:06:03,-23.000652,-43.366969,0.0,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],208,True,155036.6,,2025-02-17 08:06:03-03:00
901005,RJB8E53,35,2025-02-17,08:20:08,-23.001356,-43.365911,0.3,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],140,True,195409.4,,2025-02-17 08:20:08-03:00
901004,RJQ8J80,53,2025-02-17,08:20:04,-22.973129,-43.384568,29.7,volta,53 - ALVORADA X SULACAP (EXPRESSO) [VOLTA],271,True,174363.3,,2025-02-17 08:20:04-03:00
902095,,40,2025-02-17,08:20:11,-22.876846,-43.33025,0.0,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],,True,93648.4,,2025-02-17 08:20:11-03:00
902375,,61,2025-02-17,08:19:39,-22.853681,-43.384684,6.3,ida,61 - TERMINAL DEODORO X TIG (EXPRESSO) [IDA],242,True,1828.3,,2025-02-17 08:19:39-03:00
13409,KPY9733,10,2023-04-26,21:10:13,-22.915786,-43.628365,0.0,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),,True,22420.5,,2023-04-26 21:10:13-03:00
KXM6403 SAVEIRO,KXM6403,0,2025-02-17,08:15:38,-23.000818,-43.363584,0.0,,,,False,19507.0,,2025-02-17 08:15:38-03:00
902090,,40,2025-02-17,08:20:23,-22.876097,-43.339044,17.2,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],256,True,92006.8,,2025-02-17 08:20:23-03:00
KRA7040 - GOL,KRA7040,0,2025-02-17,08:11:36,-22.956989,-43.390444,0.0,,,,False,48513.2,,2025-02-17 08:11:36-03:00
902334,,60,2025-02-17,08:20:18,-22.853988,-43.384394,0.0,ida,60 - TERMINAL DEODORO X TIG (PARADOR) [IDA],113,True,59312.9,,2025-02-17 08:20:18-03:00
LSG7008 ACELLO INFRA,LSG7008,0,2025-01-18,17:03:03,-22.964554,-43.391436,0.0,,,,False,49467.5,,2025-01-18 17:03:03-03:00
KXE9191 PKP,KXE9191,0,2025-02-17,08:02:54,-22.971394,-43.400572,0.0,,,,False,11013.8,,2025-02-17 08:02:54-03:00
901057,,52,2025-02-17,08:20:27,-22.914931,-43.398679,33.5,volta,52 - T. ALVORADA X T. DEODORO (PARADOR) [VOLTA],319,True,208038.9,,2025-02-17 08:20:27-03:00
901003,RKM8C54,22,2025-02-17,08:20:28,-23.000003,-43.352492,9.5,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],271,True,163354.1,,2025-02-17 08:20:28-03:00
902455,,31,2025-02-17,08:06:28,-23.002518,-43.365837,0.0,volta,31 - ALVORADA X VICENTE DE CARVALHO (SEMIDIRETO) [VOLTA],223,False,61071.2,,2025-02-17 08:06:28-03:00
KWB9798 - APOIO VAN,KWB9798,0,2025-02-17,08:06:05,-23.000824,-43.36483,0.0,,,,False,3977.3,,2025-02-17 08:06:05-03:00
901002,,53,2025-02-17,08:20:17,-22.999021,-43.3681,58.7,ida,53 - SULACAP X ALVORADA (EXPRESSO) [IDA],227,True,139157.3,,2025-02-17 08:20:17-03:00
902313,,71,2025-02-17,08:20:00,-22.885188,-43.235138,52.1,volta,71 - TIG X VIGÁRIO GERAL / PRAÇA DOIS (EXPRESSO) [VOLTA],320,True,76453.9,,2025-02-17 08:20:00-03:00
902103,,41,2025-02-17,08:20:09,-23.008651,-43.440739,0.0,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],,True,100095.8,,2025-02-17 08:20:09-03:00
901001,RJD7J89,22,2025-02-17,08:20:21,-23.000633,-43.365029,0.0,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],91,True,148043.9,,2025-02-17 08:20:21-03:00
901050,,22,2025-02-17,08:20:16,-23.000199,-43.342241,0.2,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],271,True,167423.1,,2025-02-17 08:20:16-03:00
901077,,52,2025-02-17,08:20:14,-22.988962,-43.365811,0.9,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],178,True,144703.6,,2025-02-17 08:20:14-03:00
903045,,17,2025-02-17,08:19:51,-22.914389,-43.627362,54.4,ida,17 - CAMPO GRANDE  X SANTA CRUZ (PARADOR) [IDA],28,True,73576.1,,2025-02-17 08:19:51-03:00
902119,,40,2025-02-17,08:20:28,-22.950265,-43.373206,55.5,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],202,True,98520.4,,2025-02-17 08:20:28-03:00
901058,,51,2025-02-17,08:19:21,-22.926805,-43.396635,59.5,ida,51 - T. DEODORO X T. RECREIO (PARADOR) [IDA],153,True,213179.6,,2025-02-17 08:19:21-03:00
902105,,40,2025-02-17,08:20:16,-22.973376,-43.382374,0.0,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],91,True,95322.4,,2025-02-17 08:20:16-03:00
