codigo,placa,linha,data,hora,latitude,longitude,velocidade,sentido,trajeto,direcao,ignicao,hodometro,id_migracao_trajeto,datahora
901008,,22,2025-02-17,07:14:00,-23.000072,-43.352482,3.0,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],73,True,149806.1,,2025-02-17 07:14:00-03:00
901011,RIV8A74,22,2025-02-17,07:13:50,-23.000686,-43.334731,19.5,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],105,True,160263.8,,2025-02-17 07:13:50-03:00
901018,,35,2025-02-17,05:31:42,-22.96499,-43.391412,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],115,False,131266.2,,2025-02-17 05:31:42-03:00
901012,,52,2025-02-17,07:13:42,-22.855476,-43.387769,56.4,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],234,True,134045.5,,2025-02-17 07:13:42-03:00
901014,,22,2025-02-17,07:13:55,-23.006695,-43.312296,6.6,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],109,True,159388.6,,2025-02-17 07:13:55-03:00
901007,,22,2025-02-17,07:13:42,-23.000252,-43.344556,43.4,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],91,True,152634.2,,2025-02-17 07:13:42-03:00
901009,,35,2025-02-17,07:13:43,-23.00136,-43.36748,0.0,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],53,True,116154.9,,2025-02-17 07:13:43-03:00
901013,,22,2025-02-17,07:13:40,-23.000203,-43.34787,19.8,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],89,True,152705.3,,2025-02-17 07:13:40-03:00
901010,RJM8G30,50,2025-02-17,07:12:12,-23.001018,-43.364727,0.0,ida,50 - TERMINAL CENTRO OLIMPICO X  JARDIM OCEÂNICO (PARADOR) [IDA],265,True,166739.1,,2025-02-17 07:12:12-03:00
901015,,35,2025-02-17,07:13:43,-22.882706,-43.341915,37.0,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],23,True,164216.8,,2025-02-17 07:13:43-03:00
901047,,35,2025-02-17,07:13:58,-23.000757,-43.365946,0.0,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],42,True,37095.6,,2025-02-17 07:13:58-03:00
901017,,22,2025-02-17,07:13:45,-23.00022,-43.366903,23.5,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],217,True,135097.8,,2025-02-17 07:13:45-03:00
901063,,51,2025-02-17,07:10:30,-22.935631,-43.395492,58.6,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],349,True,225078.3,,2025-02-17 07:10:30-03:00
902319,,51,2025-02-17,07:13:57,-22.963095,-43.39355,0.0,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],38,True,14808.3,,2025-02-17 07:13:57-03:00
901006,RJA9F56,22,2025-02-17,07:10:47,-23.000245,-43.36693,19.6,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],189,True,155023.1,,2025-02-17 07:10:47-03:00
901005,RJB8E53,35,2025-02-17,07:13:47,-22.878062,-43.340878,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],202,True,195389.4,,2025-02-17 07:13:47-03:00
901004,RJQ8J80,53,2025-02-17,07:13:50,-22.884467,-43.399498,0.0,ida,53 - SULACAP X ALVORADA (EXPRESSO) [IDA],358,True,174336.0,,2025-02-17 07:13:50-03:00
902095,,40,2025-02-17,06:34:30,-22.876865,-43.330182,0.0,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],,False,93648.4,,2025-02-17 06:34:30-03:00
902375,,61,2025-02-17,07:13:38,-22.825835,-43.336796,59.0,ida,61 - TERMINAL DEODORO X TIG (EXPRESSO) [IDA],68,True,1783.9,,2025-02-17 07:13:38-03:00
13409,KPY9733,10,2023-04-26,21:10:13,-22.915786,-43.628365,0.0,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),,True,22420.5,,2023-04-26 21:10:13-03:00
KXM6403 SAVEIRO,KXM6403,0,2025-02-17,06:14:59,-23.000818,-43.363584,0.0,,,,False,19507.0,,2025-02-17 06:14:59-03:00
902090,,40,2025-02-17,07:13:50,-22.987582,-43.365887,53.6,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],181,True,91984.7,,2025-02-17 07:13:50-03:00
KRA7040 - GOL,KRA7040,0,2025-02-17,06:37:26,-22.957136,-43.390698,0.0,,,,False,48513.2,,2025-02-17 06:37:26-03:00
902334,,60,2025-02-17,07:13:48,-22.865342,-43.247845,12.0,ida,60 - TERMINAL DEODORO X TIG (PARADOR) [IDA],172,True,59280.8,,2025-02-17 07:13:48-03:00
LSG7008 ACELLO INFRA,LSG7008,0,2025-01-18,17:03:03,-22.964554,-43.391436,0.0,,,,False,49467.5,,2025-01-18 17:03:03-03:00
KXE9191 PKP,KXE9191,0,2025-02-17,06:32:44,-22.971394,-43.400572,0.0,,,,False,11013.8,,2025-02-17 06:32:44-03:00
901057,,52,2025-02-17,07:13:47,-22.963354,-43.393961,0.0,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],217,True,208012.3,,2025-02-17 07:13:47-03:00
901003,RKM8C54,22,2025-02-17,07:13:48,-23.001956,-43.327528,41.7,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],113,True,163334.5,,2025-02-17 07:13:48-03:00
902455,,31,2025-02-17,07:13:43,-22.853145,-43.313855,0.0,ida,31 - VICENTE DE CARVALHO X ALVORADA (SEMIDIRETO) [IDA],269,True,61046.2,,2025-02-17 07:13:43-03:00
KWB9798 - APOIO VAN,KWB9798,0,2025-02-17,07:06:04,-23.000824,-43.36483,0.0,,,,False,3977.3,,2025-02-17 07:06:04-03:00
901002,,53,2025-02-17,07:13:57,-22.994079,-43.365773,47.0,volta,53 - ALVORADA X SULACAP (EXPRESSO) [VOLTA],1,True,139120.2,,2025-02-17 07:13:57-03:00
902313,,71,2025-02-17,07:13:29,-22.892999,-43.215913,49.5,volta,71 - TIG X VIGÁRIO GERAL / PRAÇA DOIS (EXPRESSO) [VOLTA],337,True,76415.7,,2025-02-17 07:13:29-03:00
902103,,41,2025-02-17,07:13:50,-22.878309,-43.336275,0.0,ida,41 - PAULO DA PORTELA X TERMINAL RECREIO (EXPRESSO) [IDA],,True,100075.2,,2025-02-17 07:13:50-03:00
901001,RJD7J89,22,2025-02-17,07:13:40,-23.006509,-43.312996,0.0,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],278,True,148024.5,,2025-02-17 07:13:40-03:00
901050,,22,2025-02-17,07:13:55,-23.005474,-43.318758,59.0,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],113,True,167405.6,,2025-02-17 07:13:55-03:00
901077,,52,2025-02-17,07:13:53,-22.917038,-43.396914,59.2,volta,52 - T. ALVORADA X T. DEODORO (PARADOR) [VOLTA],335,True,144669.7,,2025-02-17 07:13:53-03:00
903045,,17,2025-02-17,07:13:51,-22.915626,-43.62654,9.7,volta,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [VOLTA],95,True,73558.8,,2025-02-17 07:13:51-03:00
902119,,40,2025-02-17,07:12:47,-22.973174,-43.379246,0.0,volta,40 - ALVORADA X PAULO DA PORTELA (EXPRESSO) [VOLTA],270,True,98496.0,,2025-02-17 07:12:47-03:00
901058,,51,2025-02-17,07:13:42,-22.998183,-43.42729,58.2,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],56,True,213146.8,,2025-02-17 07:13:42-03:00
902105,,40,2025-02-17,07:13:57,-22.949051,-43.372638,22.7,volta,40 - ALVORADA X PAULO DA PORTELA (EXPRESSO) [VOLTA],21,True,95298.4,,2025-02-17 07:13:57-03:00
901071,,52,2025-02-17,07:13:42,-22.973343,-43.387491,53.9,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],86,True,204302.3,,2025-02-17 07:13:42-03:00
903027,,38,2025-01-30,01:54:46,-22.876951,-43.330188,0.0,ida,38 - FUNDÃO X ALVORADA (PARADOR) [IDA],,False,177751.5,,2025-01-30 01:54:46-03:00
901066,,51,2025-02-17,07:12:49,-22.932918,-43.395467,59.1,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],11,True,194005.2,,2025-02-17 07:12:49-03:00
903026,,42,2025-02-17,07:13:46,-22.838933,-43.29531,0.0,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],232,True,213290.5,,2025-02-17 07:13:46-03:00
903029,,42,2025-02-17,07:13:44,-22.820313,-43.234544,54.4,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],304,True,145809.5,,2025-02-17 07:13:44-03:00
902116,,41,2025-02-17,07:13:42,-23.008553,-43.440506,0.0,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],,True,102593.6,,2025-02-17 07:13:42-03:00
902115,,0,2024-08-31,04:33:01,-22.876017,-43.329414,0.0,,,,False,54751.3,,2024-08-31 04:33:01-03:00
903028,,42,2025-02-17,07:13:44,-22.85467,-43.253838,0.0,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],288,True,211865.2,,2025-02-17 07:13:44-03:00
901061,,51,2025-02-17,07:14:00,-22.87605,-43.405244,32.2,ida,51 - T. DEODORO X T. RECREIO (PARADOR) [IDA],144,True,234622.1,,2025-02-17 07:14:00-03:00
903030,,42,2025-02-17,07:13:53,-22.813701,-43.2453,22.5,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],313,True,0.0,,2025-02-17 07:13:53-03:00
903057,,17,2023-06-26,04:59:59,-22.920533,-43.60797,0.0,ida,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [IDA],,True,12199.8,,2023-06-26 04:59:59-03:00
901051,,35,2025-02-17,07:13:44,-22.900857,-43.354496,58.8,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],212,True,151089.3,,2025-02-17 07:13:44-03:00
901064,,52,2025-02-17,07:13:48,-22.870031,-43.411027,45.8,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],127,True,222616.8,,2025-02-17 07:13:48-03:00
902107,,41,2025-02-17,07:13:57,-22.892357,-43.348346,44.1,ida,41 - PAULO DA PORTELA X TERMINAL RECREIO (EXPRESSO) [IDA],208,True,104084.4,,2025-02-17 07:13:57-03:00
901049,,50,2025-02-17,07:13:44,-23.000138,-43.35044,37.2,ida,50 - TERMINAL CENTRO OLIMPICO X  JARDIM OCEÂNICO (PARADOR) [IDA],91,True,97656.0,,2025-02-17 07:13:44-03:00
901073,,53,2025-02-17,07:13:40,-22.931868,-43.395305,43.4,ida,53 - SULACAP X ALVORADA (EXPRESSO) [IDA],191,True,25538.8,,2025-02-17 07:13:40-03:00
901048,,51,2025-02-17,07:10:58,-22.966783,-43.397087,15.4,ida,51 - T. DEODORO X T. RECREIO (PARADOR) [IDA],210,True,170131.2,,2025-02-17 07:10:58-03:00
901065,,53,2025-02-17,07:13:44,-22.969712,-43.399881,55.4,ida,53 - SULACAP X ALVORADA (EXPRESSO) [IDA],216,True,199295.2,,2025-02-17 07:13:44-03:00
903031,,38,2025-02-17,07:13:54,-22.8766,-43.329522,0.0,ida,38 - FUNDÃO X ALVORADA (PARADOR) [IDA],,True,156250.7,,2025-02-17 07:13:54-03:00
902092,,40,2025-02-17,07:13:41,-22.948186,-43.372495,28.6,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],199,True,96020.3,,2025-02-17 07:13:41-03:00
903032,,42,2025-02-17,07:13:57,-22.877298,-43.336182,24.8,volta,42 - MADUREIRA MANANCEIA X GALEAO (PARADOR) [VOLTA],210,True,137028.0,,2025-02-17 07:13:57-03:00
901075,,53,2025-02-17,07:13:50,-22.885611,-43.400679,39.2,ida,53 - SULACAP X ALVORADA (EXPRESSO) [IDA],187,True,226712.6,,2025-02-17 07:13:50-03:00
903055,,17,2025-02-17,07:13:58,-22.901656,-43.554467,14.0,ida,17 - CAMPO GRANDE  X SANTA CRUZ (PARADOR) [IDA],251,True,62925.3,,2025-02-17 07:13:58-03:00
