codigo,placa,linha,data,hora,latitude,longitude,velocidade,sentido,trajeto,direcao,ignicao,hodometro,id_migracao_trajeto,datahora
901008,,22,2025-02-17,07:14:40,-23.000194,-43.352167,22.1,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],95,True,149806.2,,2025-02-17 07:14:40-03:00
901011,RIV8A74,22,2025-02-17,07:14:51,-23.001421,-43.328899,0.0,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],112,True,160264.4,,2025-02-17 07:14:51-03:00
901018,,35,2025-02-17,05:31:42,-22.96499,-43.391412,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],115,False,131266.2,,2025-02-17 05:31:42-03:00
901012,,52,2025-02-17,07:14:37,-22.859321,-43.39498,58.7,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],242,True,134046.299,,2025-02-17 07:14:37-03:00
901014,,22,2025-02-17,07:14:50,-23.006449,-43.3147,44.3,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],273,True,159389.0,,2025-02-17 07:14:50-03:00
901007,,22,2025-02-17,07:14:42,-23.000266,-43.341721,0.0,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],91,True,152634.4,,2025-02-17 07:14:42-03:00
901009,,35,2025-02-17,07:14:43,-23.001354,-43.367014,0.0,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],85,True,116155.0,,2025-02-17 07:14:43-03:00
901013,,22,2025-02-17,07:14:39,-23.000199,-43.346272,0.0,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],89,True,152705.5,,2025-02-17 07:14:39-03:00
901010,RJM8G30,50,2025-02-17,07:13:12,-23.001055,-43.365638,18.4,ida,50 - TERMINAL CENTRO OLIMPICO X  JARDIM OCEÂNICO (PARADOR) [IDA],265,True,166739.2,,2025-02-17 07:13:12-03:00
901015,,35,2025-02-17,07:14:43,-22.879958,-43.341715,28.7,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],3,True,164217.1,,2025-02-17 07:14:43-03:00
901047,,35,2025-02-17,07:14:28,-23.000757,-43.365946,0.0,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],42,True,37095.6,,2025-02-17 07:14:28-03:00
901017,,22,2025-02-17,07:13:59,-23.000911,-43.366933,24.1,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],125,True,135097.9,,2025-02-17 07:13:59-03:00
901063,,51,2025-02-17,07:10:30,-22.935631,-43.395492,58.6,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],349,True,225078.3,,2025-02-17 07:10:30-03:00
902319,,51,2025-02-17,07:14:27,-22.962488,-43.392938,33.0,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],41,True,14808.4,,2025-02-17 07:14:27-03:00
901006,RJA9F56,22,2025-02-17,07:10:47,-23.000245,-43.36693,19.6,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],189,True,155023.1,,2025-02-17 07:10:47-03:00
901005,RJB8E53,35,2025-02-17,07:14:47,-22.87845,-43.340958,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],193,True,195389.4,,2025-02-17 07:14:47-03:00
901004,RJQ8J80,53,2025-02-17,07:14:30,-22.884471,-43.399391,0.0,ida,53 - SULACAP X ALVORADA (EXPRESSO) [IDA],358,True,174336.0,,2025-02-17 07:14:30-03:00
902095,,40,2025-02-17,06:34:30,-22.876865,-43.330182,0.0,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],,False,93648.4,,2025-02-17 06:34:30-03:00
902375,,61,2025-02-17,07:14:39,-22.82413,-43.331713,0.0,ida,61 - TERMINAL DEODORO X TIG (EXPRESSO) [IDA],90,True,1784.4,,2025-02-17 07:14:39-03:00
13409,KPY9733,10,2023-04-26,21:10:13,-22.915786,-43.628365,0.0,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),,True,22420.5,,2023-04-26 21:10:13-03:00
KXM6403 SAVEIRO,KXM6403,0,2025-02-17,06:14:59,-23.000818,-43.363584,0.0,,,,False,19507.0,,2025-02-17 06:14:59-03:00
902090,,40,2025-02-17,07:14:50,-22.996102,-43.365974,53.6,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],173,True,91985.6,,2025-02-17 07:14:50-03:00
KRA7040 - GOL,KRA7040,0,2025-02-17,06:37:26,-22.957136,-43.390698,0.0,,,,False,48513.2,,2025-02-17 06:37:26-03:00
902334,,60,2025-02-17,07:14:49,-22.86724,-43.247548,42.8,ida,60 - TERMINAL DEODORO X TIG (PARADOR) [IDA],171,True,59281.1,,2025-02-17 07:14:49-03:00
LSG7008 ACELLO INFRA,LSG7008,0,2025-01-18,17:03:03,-22.964554,-43.391436,0.0,,,,False,49467.5,,2025-01-18 17:03:03-03:00
KXE9191 PKP,KXE9191,0,2025-02-17,06:32:44,-22.971394,-43.400572,0.0,,,,False,11013.8,,2025-02-17 06:32:44-03:00
901057,,52,2025-02-17,07:14:47,-22.965935,-43.396366,0.0,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],222,True,208012.6,,2025-02-17 07:14:47-03:00
901003,RKM8C54,22,2025-02-17,07:14:28,-23.00346,-43.323694,2.4,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],125,True,163334.9,,2025-02-17 07:14:28-03:00
902455,,31,2025-02-17,07:14:43,-22.852277,-43.315848,0.0,ida,31 - VICENTE DE CARVALHO X ALVORADA (SEMIDIRETO) [IDA],286,True,61046.4,,2025-02-17 07:14:43-03:00
KWB9798 - APOIO VAN,KWB9798,0,2025-02-17,07:06:04,-23.000824,-43.36483,0.0,,,,False,3977.3,,2025-02-17 07:06:04-03:00
901002,,53,2025-02-17,07:14:37,-22.988809,-43.365689,41.4,volta,53 - ALVORADA X SULACAP (EXPRESSO) [VOLTA],1,True,139120.8,,2025-02-17 07:14:37-03:00
902313,,71,2025-02-17,07:14:30,-22.88926,-43.221129,41.8,volta,71 - TIG X VIGÁRIO GERAL / PRAÇA DOIS (EXPRESSO) [VOLTA],274,True,76416.5,,2025-02-17 07:14:30-03:00
902103,,41,2025-02-17,07:14:50,-22.878309,-43.336275,0.0,ida,41 - PAULO DA PORTELA X TERMINAL RECREIO (EXPRESSO) [IDA],,True,100075.2,,2025-02-17 07:14:50-03:00
901001,RJD7J89,22,2025-02-17,07:14:40,-23.006455,-43.313014,0.0,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],278,True,148024.5,,2025-02-17 07:14:40-03:00
901050,,22,2025-02-17,07:14:36,-23.006701,-43.313105,37.7,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],95,True,167406.2,,2025-02-17 07:14:36-03:00
901077,,52,2025-02-17,07:14:53,-22.915309,-43.398357,22.5,volta,52 - T. ALVORADA X T. DEODORO (PARADOR) [VOLTA],327,True,144669.9,,2025-02-17 07:14:53-03:00
903045,,17,2025-02-17,07:14:31,-22.916245,-43.623023,41.4,volta,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [VOLTA],99,True,73559.2,,2025-02-17 07:14:31-03:00
902119,,40,2025-02-17,07:12:47,-22.973174,-43.379246,0.0,volta,40 - ALVORADA X PAULO DA PORTELA (EXPRESSO) [VOLTA],270,True,98496.0,,2025-02-17 07:12:47-03:00
