codigo,placa,linha,data,hora,latitude,longitude,velocidade,sentido,trajeto,direcao,ignicao,hodometro,id_migracao_trajeto,datahora
901008,,22,2025-02-17,08:45:00,-23.000991,-43.364898,10.9,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],266,True,149830.2,,2025-02-17 08:45:00-03:00
901011,RIV8A74,22,2025-02-17,08:48:50,-23.000628,-43.365536,0.0,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],89,True,160286.7,,2025-02-17 08:48:50-03:00
901018,,35,2025-02-17,07:43:00,-22.964902,-43.3914,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],267,False,131266.2,,2025-02-17 07:43:00-03:00
901012,,52,2025-02-17,08:40:01,-22.965123,-43.391274,0.0,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],68,False,134078.1,,2025-02-17 08:40:01-03:00
901014,,22,2025-02-17,08:49:50,-23.001013,-43.329529,0.0,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],288,True,159415.9,,2025-02-17 08:49:50-03:00
901007,,22,2025-02-17,08:49:44,-23.000679,-43.334549,15.8,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],91,True,152660.5,,2025-02-17 08:49:44-03:00
901009,,35,2025-02-17,08:49:43,-22.916905,-43.362704,41.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],229,True,116181.6,,2025-02-17 08:49:43-03:00
901013,,22,2025-02-17,08:49:20,-22.999855,-43.360411,38.4,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],270,True,152727.8,,2025-02-17 08:49:20-03:00
901010,RJM8G30,50,2025-02-17,08:49:13,-23.000972,-43.364905,15.1,ida,50 - TERMINAL CENTRO OLIMPICO X  JARDIM OCEÂNICO (PARADOR) [IDA],267,True,166768.0,,2025-02-17 08:49:13-03:00
901015,,35,2025-02-17,08:40:24,-23.001354,-43.366028,0.2,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],98,True,164239.5,,2025-02-17 08:40:24-03:00
901047,,35,2025-02-17,08:49:28,-22.932196,-43.373098,46.2,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],173,True,37124.4,,2025-02-17 08:49:28-03:00
901017,,22,2025-02-17,08:47:49,-23.000599,-43.364498,0.0,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],96,True,135123.4,,2025-02-17 08:47:49-03:00
901063,,51,2025-02-17,08:49:52,-22.960656,-43.391719,45.8,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],5,True,225121.4,,2025-02-17 08:49:52-03:00
902319,,51,2025-02-17,08:49:27,-22.983401,-43.411371,58.8,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],36,True,14851.7,,2025-02-17 08:49:27-03:00
