codigo,placa,linha,data,hora,latitude,longitude,velocidade,sentido,trajeto,direcao,ignicao,hodometro,id_migracao_trajeto,datahora
901008,,22,2025-02-17,08:41:40,-23.000869,-43.366693,23.2,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],58,True,149829.8,,2025-02-17 08:41:40-03:00
901011,RIV8A74,22,2025-02-17,08:40:30,-23.000668,-43.365602,14.9,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],88,True,160285.9,,2025-02-17 08:40:30-03:00
901018,,35,2025-02-17,07:43:00,-22.964902,-43.3914,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],267,False,131266.2,,2025-02-17 07:43:00-03:00
901012,,52,2025-02-17,08:40:01,-22.965123,-43.391274,0.0,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],68,False,134078.1,,2025-02-17 08:40:01-03:00
901014,,22,2025-02-17,08:41:49,-23.006528,-43.315044,59.1,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],95,True,159413.6,,2025-02-17 08:41:49-03:00
901007,,22,2025-02-17,08:41:44,-23.00007,-43.360395,30.3,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],87,True,152657.8,,2025-02-17 08:41:44-03:00
901009,,35,2025-02-17,08:41:43,-22.892118,-43.348252,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],205,True,116178.4,,2025-02-17 08:41:43-03:00
901013,,22,2025-02-17,08:41:40,-23.000545,-43.33413,20.3,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],274,True,152725.1,,2025-02-17 08:41:40-03:00
901010,RJM8G30,50,2025-02-17,08:41:32,-22.984165,-43.365762,0.0,ida,50 - TERMINAL CENTRO OLIMPICO X  JARDIM OCEÂNICO (PARADOR) [IDA],180,True,166765.4,,2025-02-17 08:41:32-03:00
901015,,35,2025-02-17,08:37:23,-23.001404,-43.366213,0.0,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],87,True,164239.5,,2025-02-17 08:37:23-03:00
901047,,35,2025-02-17,08:41:28,-22.91461,-43.360849,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],207,True,37121.7,,2025-02-17 08:41:28-03:00
901017,,22,2025-02-17,08:41:30,-23.000592,-43.365713,0.0,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],90,True,135123.2,,2025-02-17 08:41:30-03:00
901063,,51,2025-02-17,08:41:31,-22.986421,-43.413944,58.3,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],35,True,225117.7,,2025-02-17 08:41:31-03:00
902319,,51,2025-02-17,08:41:26,-23.008502,-43.439833,0.0,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],78,True,14847.6,,2025-02-17 08:41:26-03:00
901006,RJA9F56,22,2025-02-17,08:41:44,-23.000404,-43.339486,0.0,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],91,True,155041.3,,2025-02-17 08:41:44-03:00
901005,RJB8E53,35,2025-02-17,08:41:48,-22.960544,-43.389853,14.8,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],26,True,195417.1,,2025-02-17 08:41:48-03:00
901004,RJQ8J80,53,2025-02-17,08:41:44,-22.884457,-43.399428,0.0,ida,53 - SULACAP X ALVORADA (EXPRESSO) [IDA],27,True,174376.9,,2025-02-17 08:41:44-03:00
902095,,40,2025-02-17,08:32:52,-22.876846,-43.330249,0.0,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],,False,93648.4,,2025-02-17 08:32:52-03:00
902375,,71,2025-02-17,08:41:39,-22.821807,-43.324706,54.1,ida,71 - VIGÁRIO GERAL / PRAÇA DOIS X TIG (EXPRESSO) [iDA],70,True,1836.6,,2025-02-17 08:41:39-03:00
13409,KPY9733,10,2023-04-26,21:10:13,-22.915786,-43.628365,0.0,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),,True,22420.5,,2023-04-26 21:10:13-03:00
