codigo,placa,linha,data,hora,latitude,longitude,velocidade,sentido,trajeto,direcao,ignicao,hodometro,id_migracao_trajeto,datahora
901008,,22,2025-02-17,04:50:28,-23.000972,-43.364938,0.0,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],,False,149790.3,,2025-02-17 04:50:28-03:00
901011,RIV8A74,22,2025-02-17,05:03:05,-23.000932,-43.364968,10.8,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],256,True,160233.1,,2025-02-17 05:03:05-03:00
901018,,35,2025-02-17,04:20:21,-22.96493,-43.391724,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],,False,131265.9,,2025-02-17 04:20:21-03:00
901012,,51,2025-02-17,05:06:36,-22.965164,-43.391437,0.0,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],196,True,133975.0,,2025-02-17 05:06:36-03:00
901014,,22,2025-02-17,04:51:40,-23.000641,-43.364778,0.0,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],,False,159356.0,,2025-02-17 04:51:40-03:00
901007,,22,2025-02-17,05:06:22,-23.003468,-43.323694,0.0,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],112,True,152597.5,,2025-02-17 05:06:22-03:00
901009,,35,2025-02-17,05:06:23,-23.001454,-43.366171,0.0,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],86,True,116115.5,,2025-02-17 05:06:23-03:00
901013,,22,2025-02-17,05:05:42,-23.000867,-43.365415,0.0,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],271,True,152675.9,,2025-02-17 05:05:42-03:00
901010,RJM8G30,50,2025-02-17,05:06:12,-22.972012,-43.401035,0.0,ida,50 - TERMINAL CENTRO OLIMPICO X  JARDIM OCEÂNICO (PARADOR) [IDA],162,True,166702.6,,2025-02-17 05:06:12-03:00
901015,,35,2025-02-17,05:06:23,-22.878498,-43.336343,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],355,True,164176.5,,2025-02-17 05:06:23-03:00
901047,,35,2025-02-17,05:06:22,-22.960619,-43.389875,0.0,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],22,True,37063.0,,2025-02-17 05:06:22-03:00
901017,,22,2025-02-16,23:26:19,-23.000594,-43.364564,0.0,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],,False,135072.9,,2025-02-16 23:26:19-03:00
901063,,53,2025-02-17,05:06:30,-22.965375,-43.391663,0.0,ida,53 - SULACAP X ALVORADA (EXPRESSO) [IDA],155,True,225025.3,,2025-02-17 05:06:30-03:00
902319,,51,2025-02-17,05:06:39,-22.97108,-43.401084,35.8,ida,51 - T. DEODORO X T. RECREIO (PARADOR) [IDA],220,True,14748.9,,2025-02-17 05:06:39-03:00
901006,RJA9F56,22,2025-02-17,04:03:40,-23.000787,-43.366234,0.0,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],,False,155010.6,,2025-02-17 04:03:40-03:00
901005,RJB8E53,35,2025-02-17,05:06:28,-22.891911,-43.34811,22.8,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],208,True,195349.6,,2025-02-17 05:06:28-03:00
901004,RJQ8J80,35,2025-02-17,03:28:43,-22.964467,-43.391661,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],,False,174282.7,,2025-02-17 03:28:43-03:00
902095,,40,2025-02-17,04:34:27,-22.876865,-43.330182,0.0,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],,False,93648.4,,2025-02-17 04:34:27-03:00
902375,,60,2025-02-17,05:06:39,-22.819046,-43.284473,0.0,volta,60 - TIG  X  TERMINAL DEODORO (PARADOR) [VOLTA],320,True,1712.8,,2025-02-17 05:06:39-03:00
13409,KPY9733,10,2023-04-26,21:10:13,-22.915786,-43.628365,0.0,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),,True,22420.5,,2023-04-26 21:10:13-03:00
KXM6403 SAVEIRO,KXM6403,0,2025-02-17,04:14:59,-23.000818,-43.363584,0.0,,,,False,19507.0,,2025-02-17 04:14:59-03:00
902090,,40,2025-02-17,05:06:40,-22.876568,-43.330008,0.0,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],,True,91964.1,,2025-02-17 05:06:40-03:00
KRA7040 - GOL,KRA7040,0,2025-02-17,03:37:04,-22.957136,-43.390698,0.0,,,,False,48513.2,,2025-02-17 03:37:04-03:00
902334,,60,2025-02-17,05:00:33,-22.849538,-43.397767,0.0,ida,60 - TERMINAL DEODORO X TIG (PARADOR) [IDA],,False,59257.9,,2025-02-17 05:00:33-03:00
LSG7008 ACELLO INFRA,LSG7008,0,2025-01-18,17:03:03,-22.964554,-43.391436,0.0,,,,False,49467.5,,2025-01-18 17:03:03-03:00
KXE9191 PKP,KXE9191,0,2025-02-17,05:02:46,-22.971394,-43.400572,0.0,,,,False,11013.8,,2025-02-17 05:02:46-03:00
901057,,52,2025-02-17,05:06:07,-22.853366,-43.386161,0.0,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],92,True,207946.5,,2025-02-17 05:06:07-03:00
901003,RKM8C54,22,2025-02-17,05:06:30,-23.004767,-43.32018,47.5,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],294,True,163298.4,,2025-02-17 05:06:30-03:00
902455,,31,2025-02-17,05:06:18,-22.852929,-43.313283,0.0,ida,31 - VICENTE DE CARVALHO X ALVORADA (SEMIDIRETO) [IDA],234,True,60993.5,,2025-02-17 05:06:18-03:00
KWB9798 - APOIO VAN,KWB9798,0,2025-02-17,04:36:02,-23.000824,-43.36483,0.0,,,,False,3977.3,,2025-02-17 04:36:02-03:00
901002,,46,2025-02-17,05:06:37,-22.966865,-43.397059,46.9,ida,46 - PENHA X ALVORADA (EXPRESSO) [IDA],41,True,139049.7,,2025-02-17 05:06:37-03:00
902313,,60,2025-02-17,05:06:37,-22.848639,-43.397381,0.0,ida,60 - TERMINAL DEODORO X TIG (PARADOR) [IDA],,True,76352.5,,2025-02-17 05:06:37-03:00
902103,,40,2025-02-17,05:06:30,-22.876407,-43.329313,0.0,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],,True,100033.1,,2025-02-17 05:06:30-03:00
901001,RJD7J89,22,2025-02-17,05:06:00,-23.000583,-43.366931,15.0,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],208,True,147991.4,,2025-02-17 05:06:00-03:00
901050,,35,2025-02-17,05:05:19,-23.000855,-43.366244,11.3,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],33,True,167386.2,,2025-02-17 05:05:19-03:00
901077,,51,2025-02-17,05:06:34,-22.9646,-43.392201,0.0,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],179,True,144609.1,,2025-02-17 05:06:34-03:00
903045,,17,2025-02-17,05:06:33,-22.907605,-43.566272,0.0,volta,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [VOLTA],106,True,73529.5,,2025-02-17 05:06:33-03:00
902119,,41,2025-02-17,04:48:06,-22.876381,-43.330221,0.0,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],,False,98468.3,,2025-02-17 04:48:06-03:00
901058,,51,2025-02-17,05:06:31,-22.951952,-43.389965,58.9,ida,51 - T. DEODORO X T. RECREIO (PARADOR) [IDA],201,True,213090.0,,2025-02-17 05:06:31-03:00
902105,,43,2025-02-17,05:01:51,-22.876336,-43.33025,0.0,ida,43 - FUNDÃO X SANTA EFIGENIA (EXPRESSO) [IDA],,False,95266.1,,2025-02-17 05:01:51-03:00
901071,,52,2025-02-17,05:06:22,-22.85398,-43.383748,14.7,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],271,True,204233.1,,2025-02-17 05:06:22-03:00
903027,,38,2025-01-30,01:54:46,-22.876951,-43.330188,0.0,ida,38 - FUNDÃO X ALVORADA (PARADOR) [IDA],,False,177751.5,,2025-01-30 01:54:46-03:00
901066,,52,2025-02-17,05:04:50,-22.899364,-43.397661,52.6,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],174,True,193929.6,,2025-02-17 05:04:50-03:00
903026,,38,2025-02-17,05:06:26,-22.876863,-43.329757,0.0,ida,38 - FUNDÃO X ALVORADA (PARADOR) [IDA],,True,213253.2,,2025-02-17 05:06:26-03:00
