codigo,placa,linha,data,hora,latitude,longitude,velocidade,sentido,trajeto,direcao,ignicao,hodometro,id_migracao_trajeto,datahora
901008,,22,2025-02-17,07:04:20,-23.00092,-43.364938,0.0,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],268,True,149804.1,,2025-02-17 07:04:20-03:00
901011,RIV8A74,22,2025-02-17,07:08:31,-23.000122,-43.354958,27.1,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],90,True,160261.8,,2025-02-17 07:08:31-03:00
901018,,35,2025-02-17,05:31:42,-22.96499,-43.391412,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],115,False,131266.2,,2025-02-17 05:31:42-03:00
901012,,52,2025-02-17,07:08:36,-22.853752,-43.384401,0.0,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],293,True,134044.9,,2025-02-17 07:08:36-03:00
901014,,22,2025-02-17,07:08:30,-23.000594,-43.334916,0.0,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],92,True,159386.2,,2025-02-17 07:08:30-03:00
901007,,22,2025-02-17,06:57:22,-23.000627,-43.364323,0.0,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],138,True,152631.2,,2025-02-17 06:57:22-03:00
901009,,35,2025-02-17,07:08:43,-22.983424,-43.365781,45.2,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],172,True,116152.7,,2025-02-17 07:08:43-03:00
901013,,22,2025-02-17,07:04:59,-23.00108,-43.365953,0.0,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],275,True,152702.9,,2025-02-17 07:04:59-03:00
901010,RJM8G30,50,2025-02-17,07:08:32,-22.992002,-43.365948,50.5,ida,50 - TERMINAL CENTRO OLIMPICO X  JARDIM OCEÂNICO (PARADOR) [IDA],180,True,166737.4,,2025-02-17 07:08:32-03:00
901015,,35,2025-02-17,07:08:43,-22.894877,-43.349689,31.6,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],34,True,164215.2,,2025-02-17 07:08:43-03:00
901047,,35,2025-02-17,07:08:28,-23.000678,-43.365994,0.0,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],42,True,37095.6,,2025-02-17 07:08:28-03:00
901017,,22,2025-02-17,07:08:30,-23.000511,-43.33507,55.3,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],274,True,135094.5,,2025-02-17 07:08:30-03:00
901063,,51,2025-02-17,07:08:34,-22.945444,-43.394066,56.9,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],343,True,225077.2,,2025-02-17 07:08:34-03:00
902319,,51,2025-02-17,07:08:26,-22.981604,-43.410027,0.8,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],30,True,14805.6,,2025-02-17 07:08:26-03:00
901006,RJA9F56,22,2025-02-17,07:08:44,-22.999891,-43.356137,45.7,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],272,True,155022.0,,2025-02-17 07:08:44-03:00
901005,RJB8E53,35,2025-02-17,07:08:28,-22.877449,-43.336996,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],304,True,195388.8,,2025-02-17 07:08:28-03:00
901004,RJQ8J80,53,2025-02-17,07:08:31,-22.883597,-43.399761,22.8,ida,53 - SULACAP X ALVORADA (EXPRESSO) [IDA],141,True,174335.8,,2025-02-17 07:08:31-03:00
902095,,40,2025-02-17,06:34:30,-22.876865,-43.330182,0.0,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],,False,93648.4,,2025-02-17 06:34:30-03:00
902375,,61,2025-02-17,07:08:38,-22.840962,-43.370406,0.0,ida,61 - TERMINAL DEODORO X TIG (EXPRESSO) [IDA],53,True,1780.0,,2025-02-17 07:08:38-03:00
13409,KPY9733,10,2023-04-26,21:10:13,-22.915786,-43.628365,0.0,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),,True,22420.5,,2023-04-26 21:10:13-03:00
KXM6403 SAVEIRO,KXM6403,0,2025-02-17,06:14:59,-23.000818,-43.363584,0.0,,,,False,19507.0,,2025-02-17 06:14:59-03:00
902090,,0,2025-02-17,07:08:30,-22.973287,-43.378167,52.9,,,95,True,91981.6,,2025-02-17 07:08:30-03:00
KRA7040 - GOL,KRA7040,0,2025-02-17,06:37:26,-22.957136,-43.390698,0.0,,,,False,48513.2,,2025-02-17 06:37:26-03:00
902334,,60,2025-02-17,07:07:48,-22.840349,-43.253378,58.1,ida,60 - TERMINAL DEODORO X TIG (PARADOR) [IDA],140,True,59277.9,,2025-02-17 07:07:48-03:00
LSG7008 ACELLO INFRA,LSG7008,0,2025-01-18,17:03:03,-22.964554,-43.391436,0.0,,,,False,49467.5,,2025-01-18 17:03:03-03:00
KXE9191 PKP,KXE9191,0,2025-02-17,06:32:44,-22.971394,-43.400572,0.0,,,,False,11013.8,,2025-02-17 06:32:44-03:00
901057,,52,2025-02-17,07:08:27,-22.942323,-43.394567,38.2,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],174,True,208009.5,,2025-02-17 07:08:27-03:00
901003,RKM8C54,22,2025-02-17,07:08:29,-23.000216,-43.347511,0.0,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],92,True,163332.4,,2025-02-17 07:08:29-03:00
902455,,31,2025-02-17,07:08:17,-22.852563,-43.312774,0.0,ida,31 - VICENTE DE CARVALHO X ALVORADA (SEMIDIRETO) [IDA],230,True,61046.0,,2025-02-17 07:08:17-03:00
KWB9798 - APOIO VAN,KWB9798,0,2025-02-17,07:06:04,-23.000824,-43.36483,0.0,,,,False,3977.3,,2025-02-17 07:06:04-03:00
901002,,53,2025-02-17,07:08:45,-23.000063,-43.368894,38.0,ida,53 - SULACAP X ALVORADA (EXPRESSO) [IDA],179,True,139118.3,,2025-02-17 07:08:45-03:00
902313,,71,2025-02-17,07:08:30,-22.8991,-43.210892,0.0,volta,71 - TIG X VIGÁRIO GERAL / PRAÇA DOIS (EXPRESSO) [VOLTA],338,True,76414.6,,2025-02-17 07:08:30-03:00
902103,,41,2025-02-17,07:08:29,-22.879106,-43.33813,0.0,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],85,True,100075.0,,2025-02-17 07:08:29-03:00
901001,RJD7J89,22,2025-02-17,07:08:40,-23.003437,-43.323695,0.0,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],109,True,148023.0,,2025-02-17 07:08:40-03:00
901050,,22,2025-02-17,07:08:35,-23.000333,-43.340261,42.9,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],90,True,167403.3,,2025-02-17 07:08:35-03:00
901077,,52,2025-02-17,07:08:33,-22.947616,-43.392065,16.8,volta,52 - T. ALVORADA X T. DEODORO (PARADOR) [VOLTA],307,True,144666.1,,2025-02-17 07:08:33-03:00
903045,,17,2025-02-17,07:08:44,-22.917564,-43.637812,35.3,volta,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [VOLTA],72,True,73557.5,,2025-02-17 07:08:44-03:00
902119,,40,2025-02-17,07:08:28,-22.983706,-43.365696,0.0,volta,40 - ALVORADA X PAULO DA PORTELA (EXPRESSO) [VOLTA],356,True,98493.2,,2025-02-17 07:08:28-03:00
901058,,51,2025-02-17,07:08:41,-23.008418,-43.439806,0.0,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],73,True,213145.0,,2025-02-17 07:08:41-03:00
902105,,40,2025-02-17,07:08:37,-22.960151,-43.389614,27.4,volta,40 - ALVORADA X PAULO DA PORTELA (EXPRESSO) [VOLTA],50,True,95296.1,,2025-02-17 07:08:37-03:00
901071,,52,2025-02-17,07:06:21,-22.966711,-43.39707,18.4,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],218,True,204299.4,,2025-02-17 07:06:21-03:00
903027,,38,2025-01-30,01:54:46,-22.876951,-43.330188,0.0,ida,38 - FUNDÃO X ALVORADA (PARADOR) [IDA],,False,177751.5,,2025-01-30 01:54:46-03:00
901066,,51,2025-02-17,07:08:30,-22.954978,-43.392082,59.4,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],42,True,194002.5,,2025-02-17 07:08:30-03:00
